Año,Mes,País destino,Codigo Iso 3166,Femenino,Masculino,Indefinido,Total,Latitud - Longitud
2012,Enero,Afganistan,4,0,1,,1,"(10.886611,-74.776708)"
2012,Enero,Afganistan,4,1,20,,21,"(4.697144,-74.140516)"
2012,Enero,Alemania,276,1,0,,1,"(0.814836,-77.662532)"
2012,Enero,Alemania,276,5,2,,7,"(10.445761,-75.516429)"
2012,Enero,Alemania,276,3,2,,5,"(10.886611,-74.776708)"
2012,Enero,Alemania,276,22,13,,35,"(3.541112,-76.384584)"
2012,Enero,Alemania,276,946,800,,1746,"(4.697144,-74.140516)"
2012,Enero,Alemania,276,12,6,,18,"(6.171601,-75.427454)"
2012,Enero,Andorra,20,1,0,,1,"(4.697144,-74.140516)"
2012,Enero,Angola,24,0,1,,1,"(10.445761,-75.516429)"
2012,Enero,Angola,24,4,21,,25,"(4.697144,-74.140516)"
2012,Enero,Angola,24,1,0,,1,"(6.171601,-75.427454)"
2012,Enero,Angola,24,0,1,,1,"(7.128456,-73.183637)"
2012,Enero,Antigua y Barbuda,28,4,2,,6,"(4.697144,-74.140516)"
2012,Enero,Antigua y Barbuda,28,2,1,,3,"(6.171601,-75.427454)"
2012,Enero,Paises Bajos,528,660,525,,1185,"(10.408582,-75.538003)"
2012,Enero,Paises Bajos,528,4,0,,4,"(10.445761,-75.516429)"
2012,Enero,Paises Bajos,528,4,2,,6,"(10.886611,-74.776708)"
2012,Enero,Paises Bajos,528,39,11,,50,"(3.541112,-76.384584)"
2012,Enero,Paises Bajos,528,239,138,,377,"(4.697144,-74.140516)"
2012,Enero,Paises Bajos,528,1,2,,3,"(4.815061,-75.736532)"
2012,Enero,Paises Bajos,528,90,66,,156,"(6.171601,-75.427454)"
2012,Enero,Paises Bajos,528,1,0,,1,"(7.128456,-73.183637)"
2012,Enero,Paises Bajos,528,0,1,,1,"(7.927209,-72.507910)"
2012,Enero,Arabia Saudita,682,0,1,,1,"(3.541112,-76.384584)"
2012,Enero,Arabia Saudita,682,30,48,,78,"(4.697144,-74.140516)"
2012,Enero,Arabia Saudita,682,1,3,,4,"(6.171601,-75.427454)"
2012,Enero,Argelia,12,0,2,,2,"(3.541112,-76.384584)"
2012,Enero,Argelia,12,5,16,,21,"(4.697144,-74.140516)"
2012,Enero,Argelia,12,0,1,,1,"(4.815061,-75.736532)"
2012,Enero,Argentina,32,4,24,,28,"(0.814836,-77.662532)"
2012,Enero,Argentina,32,15,13,,28,"(10.445761,-75.516429)"
2012,Enero,Argentina,32,17,14,,31,"(10.886611,-74.776708)"
2012,Enero,Argentina,32,2,6,,8,"(12.586067,-81.702563)"
2012,Enero,Argentina,32,173,163,,336,"(3.541112,-76.384584)"
2012,Enero,Argentina,32,3084,3102,,6186,"(4.697144,-74.140516)"
2012,Enero,Argentina,32,6,5,,11,"(4.815061,-75.736532)"
2012,Enero,Argentina,32,219,186,,405,"(6.171601,-75.427454)"
2012,Enero,Argentina,32,5,4,,9,"(7.128456,-73.183637)"
2012,Enero,Argentina,32,1,0,,1,"(7.927209,-72.507910)"
2012,Enero,Aruba,533,2251,1787,,4038,"(10.408582,-75.538003)"
2012,Enero,Aruba,533,3,3,,6,"(10.445761,-75.516429)"
2012,Enero,Aruba,533,16,7,,23,"(10.886611,-74.776708)"
2012,Enero,Aruba,533,209,119,,328,"(11.528919,-72.919681)"
2012,Enero,Aruba,533,22,16,,38,"(3.541112,-76.384584)"
2012,Enero,Aruba,533,1118,996,,2114,"(4.697144,-74.140516)"
2012,Enero,Aruba,533,4,1,,5,"(4.815061,-75.736532)"
2012,Enero,Aruba,533,92,65,,157,"(6.171601,-75.427454)"
2012,Enero,Aruba,533,6,4,,10,"(7.128456,-73.183637)"
2012,Enero,Australia,36,4,2,,6,"(10.445761,-75.516429)"
2012,Enero,Australia,36,3,4,,7,"(10.886611,-74.776708)"
2012,Enero,Australia,36,1,1,,2,"(12.586067,-81.702563)"
2012,Enero,Australia,36,23,17,,40,"(3.541112,-76.384584)"
2012,Enero,Australia,36,1,3,,4,"(4.452882,-75.766298)"
2012,Enero,Australia,36,449,358,,807,"(4.697144,-74.140516)"
2012,Enero,Australia,36,1,1,,2,"(4.815061,-75.736532)"
2012,Enero,Australia,36,58,46,,104,"(6.171601,-75.427454)"
2012,Enero,Australia,36,0,1,,1,"(7.128456,-73.183637)"
2012,Enero,Austria,40,1,2,,3,"(3.541112,-76.384584)"
2012,Enero,Austria,40,26,26,,52,"(4.697144,-74.140516)"
2012,Enero,Austria,40,3,1,,4,"(6.171601,-75.427454)"
2012,Enero,Azerbaiyan,31,1,5,,6,"(4.697144,-74.140516)"
2012,Enero,Bahamas,44,8,3,,11,"(10.445761,-75.516429)"
2012,Enero,Bahamas,44,9,13,,22,"(10.886611,-74.776708)"
2012,Enero,Bahamas,44,8,9,,17,"(3.541112,-76.384584)"
2012,Enero,Bahamas,44,47,53,,100,"(4.697144,-74.140516)"
2012,Enero,Bahamas,44,8,5,,13,"(4.815061,-75.736532)"
2012,Enero,Bahamas,44,37,33,,70,"(6.171601,-75.427454)"
2012,Enero,Bahamas,44,1,2,,3,"(7.128456,-73.183637)"
2012,Enero,Bahamas,44,1,1,,2,"(7.927209,-72.507910)"
2012,Enero,Bahrein,48,1,0,,1,"(4.697144,-74.140516)"
2012,Enero,Bangladesh,50,1,0,,1,"(4.697144,-74.140516)"
2012,Enero,Barbados,52,1,0,,1,"(10.445761,-75.516429)"
2012,Enero,Barbados,52,1,0,,1,"(3.541112,-76.384584)"
2012,Enero,Barbados,52,1,5,,6,"(4.697144,-74.140516)"
2012,Enero,Barbados,52,1,1,,2,"(6.171601,-75.427454)"
2012,Enero,Republica de Belarus,112,2,3,,5,"(11.360009,-72.129330)"
2012,Enero,Republica de Belarus,112,3,1,,4,"(3.541112,-76.384584)"
2012,Enero,Republica de Belarus,112,6,2,,8,"(4.697144,-74.140516)"
2012,Enero,Republica de Belarus,112,1,0,,1,"(6.171601,-75.427454)"
2012,Enero,Republica de Belarus,112,12,12,,24,"(7.818934,-72.453226)"
2012,Enero,Belgica,56,0,1,,1,"(10.445761,-75.516429)"
2012,Enero,Belgica,56,1,0,,1,"(10.886611,-74.776708)"
2012,Enero,Belgica,56,9,11,,20,"(3.541112,-76.384584)"
2012,Enero,Belgica,56,122,79,,201,"(4.697144,-74.140516)"
2012,Enero,Belgica,56,12,7,,19,"(6.171601,-75.427454)"
2012,Enero,Belice,84,1,1,,2,"(3.541112,-76.384584)"
2012,Enero,Belice,84,3,2,,5,"(4.697144,-74.140516)"
2012,Enero,Bermudas/Territorio Britanico de Ultramar,60,1,1,,2,"(4.697144,-74.140516)"
2012,Enero,Bolivia,68,1,1,,2,"(0.814836,-77.662532)"
2012,Enero,Bolivia,68,0,1,,1,"(10.445761,-75.516429)"
2012,Enero,Bolivia,68,1,0,,1,"(10.886611,-74.776708)"
2012,Enero,Bolivia,68,14,27,,41,"(3.541112,-76.384584)"
2012,Enero,Bolivia,68,213,378,,591,"(4.697144,-74.140516)"
2012,Enero,Bolivia,68,0,1,,1,"(4.815061,-75.736532)"
2012,Enero,Bolivia,68,19,27,,46,"(6.171601,-75.427454)"
2012,Enero,Bolivia,68,1,2,,3,"(7.128456,-73.183637)"
2012,Enero,Botsuana,72,1,2,,3,"(4.697144,-74.140516)"
2012,Enero,Brasil,76,117,143,,260,"(-4.197703,-69.941278)"
2012,Enero,Brasil,76,0,1,,1,"(0.814836,-77.662532)"
2012,Enero,Brasil,76,6,9,,15,"(10.445761,-75.516429)"
2012,Enero,Brasil,76,6,12,,18,"(10.886611,-74.776708)"
2012,Enero,Brasil,76,0,1,,1,"(12.586067,-81.702563)"
2012,Enero,Brasil,76,37,52,,89,"(3.541112,-76.384584)"
2012,Enero,Brasil,76,1895,2583,,4478,"(4.697144,-74.140516)"
2012,Enero,Brasil,76,1,2,,3,"(4.815061,-75.736532)"
2012,Enero,Brasil,76,74,81,,155,"(6.171601,-75.427454)"
2012,Enero,Brasil,76,0,1,,1,"(7.128456,-73.183637)"
2012,Enero,Brasil,76,0,1,,1,"(7.927209,-72.507910)"
2012,Enero,Brunei Darussalam,96,0,1,,1,"(4.697144,-74.140516)"
2012,Enero,Bulgaria,100,1,3,,4,"(4.697144,-74.140516)"
2012,Enero,Burkina Faso,854,0,1,,1,"(4.697144,-74.140516)"
2012,Enero,Islas Caiman/Territorio Britanico de Ultramar,136,1,0,,1,"(10.445761,-75.516429)"
2012,Enero,Islas Caiman/Territorio Britanico de Ultramar,136,27,32,,59,"(12.586067,-81.702563)"
2012,Enero,Islas Caiman/Territorio Britanico de Ultramar,136,2,0,,2,"(3.541112,-76.384584)"
2012,Enero,Islas Caiman/Territorio Britanico de Ultramar,136,1,0,,1,"(4.697144,-74.140516)"
2012,Enero,Islas Caiman/Territorio Britanico de Ultramar,136,1,0,,1,"(6.171601,-75.427454)"
2012,Enero,Camerun,120,1,2,,3,"(4.697144,-74.140516)"
2012,Enero,Canada,124,275,240,,515,"(10.445761,-75.516429)"
2012,Enero,Canada,124,39,38,,77,"(10.886611,-74.776708)"
2012,Enero,Canada,124,22,21,,43,"(12.586067,-81.702563)"
2012,Enero,Canada,124,197,158,,355,"(3.541112,-76.384584)"
2012,Enero,Canada,124,43,39,,82,"(4.452882,-75.766298)"
2012,Enero,Canada,124,2499,2404,,4903,"(4.697144,-74.140516)"
2012,Enero,Canada,124,8,3,,11,"(4.815061,-75.736532)"
2012,Enero,Canada,124,366,303,,669,"(6.171601,-75.427454)"
2012,Enero,Canada,124,15,12,,27,"(7.128456,-73.183637)"
2012,Enero,Canada,124,0,1,,1,"(7.927209,-72.507910)"
2012,Enero,Chad,148,0,1,,1,"(3.541112,-76.384584)"
2012,Enero,España,724,3,0,,3,"(0.814836,-77.662532)"
2012,Enero,España,724,13,9,,22,"(10.445761,-75.516429)"
2012,Enero,España,724,4,3,,7,"(10.886611,-74.776708)"
2012,Enero,España,724,2462,1561,,4023,"(3.541112,-76.384584)"
2012,Enero,España,724,3,0,,3,"(4.452882,-75.766298)"
2012,Enero,España,724,9246,6637,,15883,"(4.697144,-74.140516)"
2012,Enero,España,724,2,0,,2,"(4.815061,-75.736532)"
2012,Enero,España,724,679,500,,1179,"(6.171601,-75.427454)"
2012,Enero,Republica Democratica del Congo,178,6,7,,13,"(4.697144,-74.140516)"
2012,Enero,Republica Democratica del Congo,178,1,4,,5,"(6.171601,-75.427454)"
2012,Enero,Republica Democratica del Congo,178,2,1,,3,"(7.128456,-73.183637)"
2012,Enero,Republica de Corea,410,0,1,,1,"(3.541112,-76.384584)"
2012,Enero,Republica de Corea,410,10,20,,30,"(4.697144,-74.140516)"
2012,Enero,Republica de Corea,410,0,2,,2,"(6.171601,-75.427454)"
2012,Enero,Costa de Marfil,384,0,2,,2,"(4.697144,-74.140516)"
2012,Enero,Costa Rica,188,27,20,,47,"(10.445761,-75.516429)"
2012,Enero,Costa Rica,188,45,39,,84,"(10.886611,-74.776708)"
2012,Enero,Costa Rica,188,2,26,,28,"(12.5744111,-81.703935)"
2012,Enero,Costa Rica,188,10,7,,17,"(12.586067,-81.702563)"
2012,Enero,Costa Rica,188,2,14,,16,"(13.3387613,-81.372937)"
2012,Enero,Costa Rica,188,83,78,,161,"(3.541112,-76.384584)"
2012,Enero,Costa Rica,188,1009,1031,,2040,"(4.697144,-74.140516)"
2012,Enero,Costa Rica,188,15,10,,25,"(4.815061,-75.736532)"
2012,Enero,Costa Rica,188,335,344,,679,"(6.171601,-75.427454)"
2012,Enero,Costa Rica,188,14,7,,21,"(7.128456,-73.183637)"
2012,Enero,Costa Rica,188,3,2,,5,"(7.927209,-72.507910)"
2012,Enero,Croacia,191,1,0,,1,"(4.697144,-74.140516)"
2012,Enero,Cuba,192,14,11,,25,"(10.445761,-75.516429)"
2012,Enero,Cuba,192,33,27,,60,"(10.886611,-74.776708)"
